count,word
3352,the
1350,and
1203,that
855,was
779,page
627,with
497,this
496,for
483,you
361,from
330,had
313,not
298,his
284,have
272,fbi
250,were
234,did
227,new
221,any
214,information
212,been
212,would
207,date
204,agency
199,which
189,has
180,who
166,cia
162,file
160,she
159,are
146,about
143,cuban
142,one
142,records
142,there
138,number
135,assassination
135,said
125,him
122,but
121,advised
121,subject
118,miami
117,record
114,made
114,states
111,united
110,all
108,other
106,last
104,they
102,her
99,these
96,cuba
96,time
95,following
95,what
92,document
90,jfk
90,some
90,two
90,will
89,because
87,bureau
86,october
85,7831a
85,current
83,identification
81,form
81,may
81,system
80,after
80,concerning
79,november
77,president
76,during
76,name
76,your
75,then
74,contact
73,know
73,meeting
73,opening
73,stated
71,dated
71,general
70,only
70,title
69,also
69,review
69,special
69,textual
68,memorandum
67,report
66,pages
65,told
64,out
64,status
62,people
62,when
61,january
61,released
60,1964
60,department
60,into
60,subjects
59,april
59,being
59,ever
59,letter
59,restrictions
59,telephone
58,deletions
58,office
57,comments
57,group
56,commission
56,criteria
56,intelligence
56,should
56,their
56,unclassified
55,classification
55,originator
54,asked
54,oswald
54,over
54,very
52,documenttype
52,investigation
51,city
51,los
51,where
50,1963
50,agent
50,indefinite
50,series
49,alex
49,case
49,documentinformation
49,get
48,1962
48,could
47,activities
47,air
46,dci
46,kennedy
46,secret
45,can
45,chief
45,under
45,whether
44,july
44,top
43,docld:34489792
43,going
43,police
43,qjwin
43,them
42,fact
42,how
42,informant
42,involved
42,jersey
42,now
42,since
41,december
41,government
41,hotel
41,june
41,our
41,such
40,believe
40,call
40,further
40,part
39,7831tl
39,havana
39,hunt
39,manuel
39,never
39,state
39,tell
38,attorney
38,contains
38,federal
38,march
38,paragraph
38,use
37,copy
37,first
36,attempt
36,before
36,like
36,several
36,those
36,within
35,castro
35,central
35,interview
35,john
35,make
35,mexico
35,miss
35,rossi
35,until
35,used
35,want
34,february
34,its
34,many
34,noted
34,present
34,sent
34,warren
34,while
33,against
33,anything
33,august
33,called
33,either
33,given
33,known
33,newark
33,orleans
33,received
33,years
32,director
32,might
32,possible
32,through
31,angeles
31,connection
31,fidel
31,just
31,land
31,men
31,nothing
31,tampa
31,than
30,american
30,discussed
30,gambling
30,here
30,man
30,rosselli
30,six
30,went
29,address
29,airtel
29,back
29,contained
29,furnished
29,section
29,source
29,soviet
29,take
29,via
28,certain
28,officer
28,order
28,page2
28,references
28,taken
28,three
27,agreed
27,files
27,item
27,las
27,operation
27,per
27,person
27,political
27,requested
27,september
27,york
26,cable
26,embassy
26,former
26,gave
26,law
26,minutes
26,off
26,room
26,same
26,sources
26,visit
25,andrew
25,another
25,assassination.
25,between
25,came
25,having
25,indicated
25,lee
25,military
25,prepared
25,purpose
25,restricted
25,return
25,see
24,agents
24,helms
24,more
24,philadelphia
24,release
24,staff
24,wanted
23,additional
23,box
23,company
23,cover
23,eight
23,end
23,five
23,headquarters
23,left
23,listed
23,past
23,returned
23,south
23,station
23,think
23,upon
22,apartment
22,colonel
22,crime
22,day
22,felt
22,friend
22,including
22,mccone
22,personal
22,sam
22,say
22,still
22,type
21,1961
21,action
21,article
21,bay
21,both
21,business
21,come
21,copies
21,division
21,gus
21,least
21,matter
21,memo
21,mention
21,mentioned
21,place
21,robert
21,set
21,talking
21,thought
21,took
20,book
20,charge
20,close
20,conversation
20,discussion
20,four
20,home
20,howard
20,knew
20,later
20,let
20,months
20,national
20,next
20,period
20,washington,
19,appeared
19,area
19,arrested
19,associated
19,conspiracy
19,cubans
19,down
19,joseph
19,justice
19,lot
19,money
19,most
19,observed
19,persons
19,probation
19,question
19,reference
19,request
19,residence
19,security
19,show
19,transmit
19,visited
19,way
19,working
18,78318
18,aka
18,anti-castro
18,calls
18,classification:
18,contacted
18,described
18,documenttype:
18,does
18,each
18,even
18,harvey
18,mission
18,operations
18,papers
18,recruit
18,remember
18,whom
17,1960
17,appears
17,available
17,communications
17,considered
17,contain
17,docld:34489331
17,early
17,florida
17,force
17,full
17,give
17,got
17,interest
17,making
17,meetings
17,member
17,nor
17,official
17,open
17,originator:
17,paper
17,photograph
17,prior
17,put
17,regarding
17,reported
17,says
17,service
17,tab
17,well
17,why
16,1969
16,above
16,according
16,again
16,agencyfile
16,ahead
16,ask
16,attached
16,car
16,check
16,chicago
16,employed
16,employee
16,enclosed
16,found
16,great
16,identified
16,indicate
16,individual
16,irs
16,kill
16,local
16,material
16,met
16,obtain
16,photographs
16,plans
16,possibility
16,questions
16,respect
16,understand
16,year
15,anybody
15,apparently
15,approximately
15,birth
15,born
15,coverage
15,discuss
15,documents
15,doing
15,else
15,evening
15,family
15,flight
15,foreign
15,formerly
15,indicates
15,meet
15,notes
15,obtained
15,operational
15,outside
15,page3
15,possession
15,previously
15,public
15,rankin
15,reflect
15,restrictions:
15,rosen
15,sale
15,southern
15,statement
15,swiss
15,trip
15,twenty
15,union
15,various
15,without
15,zrrifle
14,1959
14,act
14,actually
14,alleged
14,among
14,arques
14,assoc
14,association
14,authorities
14,beverly
14,contacts
14,dallas
14,department,
14,deputy
14,director,fbi
14,dispatch
14,entitled
14,front
14,george
14,held
14,higher
14,identity
14,louis
14,luxembourg
14,must
14,parrott
14,particular
14,phone
14,probably
14,purchase
14,route
14,sac
14,second
14,seymour
14,specific
14,sturgis
14,things
14,trying
14,white
14,work
13,1975
13,anthony
13,approval
13,arrived
13,attention
13,board
13,captioned
13,commission.
13,deal
13,defense
13,determine
13,girl
13,houston
13,immediately
13,items
13,job
13,knowledge
13,large
13,leopoldville
13,long
13,members
13,method
13,named
13,names
13,officials
13,outline
13,pertinent
13,placed
13,please
13,position
13,possibly
13,project
13,receive
13,san
13,santo
13,secretary
13,talk
13,thing
13,tion
13,turned
13,west
13,william
12,account
12,activities.
12,activity
12,although
12,authority
12,background
12,boat
12,bring
12,callahan
12,communist
12,connected
12,conrad
12,david
12,discussions
12,envelope
12,executive
12,future
12,heard
12,house
12,hpsci
12,identify
12,jack
12,kind
12,married
12,mohr
12,night
12,parents
12,pigs
12,pittsburgh
12,plain
12,plot
12,previous
12,publicity
12,reads
12,reason
12,registration
12,resides
12,seems
12,suggested
12,text
12,unknown
12,written
11,able
11,agencies
11,arms
11,assassinate
11,aware
11,based
11,best
11,captain
11,charges
11,citizen
11,conclusions
11,confidential
11,continued
11,contract
11,country
11,county
11,course
11,dashc
11,dealing
11,directly
11,dulles
11,established
11,field
11,frank
11,furnish
11,game
11,guns
11,henry
11,individuals
11,informed
11,international
11,interviewed
11,jones
11,keep
11,late
11,look
11,mannarino
11,mexican
11,mother
11,necessary
11,numbers
11,opinion
11,own
11,page4
11,particularly
11,photo
11,polizzi
11,president,
11,refer
11,reportedly
11,results
11,right
11,something
11,texas
11,touch
11,vegas
11,whatever
11,write
11,zurich
10,328
10,added
10,afternoon
10,approached
10,assassination,
10,automobile
10,barker
10,believed
10,brief
10,british
10,brown
10,bundy
10,carried
10,code
10,collection
10,contents
10,cottage
10,credit
10,criminal
10,district
10,effort
10,evelyn
10,familiar
10,far
10,few
10,find
10,fourtwosix
10,free
10,gilpatric
10,inc
10,indication
10,indices
10,informants
10,leave
10,mankel
10,need
10,neighborhood
10,neither
10,north
10,others
10,party
10,performance
10,plan
10,plus
10,property
10,recall
10,recent
10,recruited
10,reflects
10,related
10,relating
10,saw
10,school
10,seen
10,services
10,shows
10,someone
10,street
10,tape
10,telling
10,times
10,trafficante,
10,trotter
10,vending
10,washington
10,worked
10,writer
9,along
9,americans
9,anti-racketeering
9,armed
9,assassination?
9,attempted
9,attorneys
9,bad
9,bearing
9,cannot
9,charged
9,coming
9,covered
9,distributed
9,efforts
9,embassies
9,employment
9,ent
9,evans
9,forth
9,getting
9,good
9,hoch
9,hoodlum
9,intended
9,island
9,james
9,kensington,
9,life
9,list
9,locate
9,mail
9,much
9,newspaper
9,note
9,occasions
9,offices
9,operation.
9,planning
9,point
9,proposed
9,read
9,receipt
9,recommendations
9,referenced
9,registered
9,relative
9,relevant
9,reviewed
9,safecrackers
9,search
9,sensitive
9,ship
9,shortly
9,stayed
9,sure
9,switzerland
9,syndicate
9,thinking
9,tolson
9,trafficante's
9,training
9,travel
9,unit
9,using
9,wife
8,1966
8,active
8,actual
8,airport
8,allegations
8,already
8,answer
8,archer
8,army
8,associates
8,attempts
8,basis
8,bell
8,belt
8,bernard
8,bruno
8,california
8,carter
8,casino
8,casper
8,clear
8,concern
8,considerable
8,conversation,
8,correspondence
8,data
8,days
8,equipment
8,examined
8,except
8,feel
8,flights
8,friends
8,garbage
8,help
8,high
8,identical
8,illegal
8,indefinite,
8,inspector
8,interested
8,issue
8,knows
8,living
8,located
8,minor
8,movement
8,nichols
8,notation
8,officers
8,operated
8,passport
8,pending
8,perhaps
8,pittsburgh,
8,pointed
8,presence
8,press
8,professional
8,promises
8,recently
8,reconnaissance
8,referred
8,requested:
8,res1
8,result
8,revealed
8,sentenced
8,showed
8,somebody
8,summary
8,supposed
8,whose
8,willing
8,writing
7,1958
7,1965
7,america
7,appear
7,appropriate
7,approved
7,assignment
7,authorized
7,away
7,beach
7,bernie
7,brought
7,carry
7,change
7,checked
7,children
7,closely
7,college
7,commission,
7,committee
7,completely
7,con
7,concerned
7,consideration
7,containing
7,dakar
7,description
7,details
7,dissemination
7,domestic
7,elements
7,engaged
7,enter
7,establish
7,evelyneleanore
7,exactly
7,expressed
7,fined
7,guard
7,himself
7,hold
7,information.
7,ins
7,instant
7,intelligence,
7,internal
7,invasion
7,involvement
7,issued
7,kept
7,killing
7,lcn
7,led
7,legal
7,less
7,liaison
7,little
7,lived
7,mannarino,
7,marked
7,means
7,miscellaneous
7,mongoose
7,morning
7,naturally
7,nature
7,news
7,nine
7,odio
7,operation,
7,organization
7,original
7,overthrow
7,owned
7,paid
7,participated
7,philadelphia,
7,picked
7,plaintext
7,planned
7,portion
7,presently
7,private
7,program
7,propaganda
7,provide
7,provided
7,quail
7,radio
7,recruiting
7,reflected
7,revolutionary
7,ruby
7,running
7,sabotage
7,sentence
7,sex
7,similar
7,small
7,soon
7,story
7,submitted
7,supply
7,supported
7,sylvia
7,targets
7,tavel
7,taylor
7,throughout
7,together
7,toll
7,topsecret
7,true
7,turn
7,twelve
7,unable
7,view
7,watergate
7,week
7,whole
7,word
6,1968
6,1992
6,accompanied
6,acting
6,activities,
6,admitted
6,advise
6,ago
6,alice
6,allegedly
6,alvarado
6,archeris
6,aspects
6,assassinating
6,assistant
6,associates.
6,attended
6,avoid
6,awd
6,beginning
6,belmont
6,ben
6,boston
6,brigade
6,burglary
6,cables
6,california,
6,camp
6,cashier
6,chairman
6,changed
6,ciahasnoobjection
6,coast
6,commander
6,complete
6,conducted
6,control
6,court
6,daily
6,daughter
6,ddp
6,dealt
6,deloach
6,departed
6,direct
6,disseminated
6,dollars
6,done
6,duces
6,east
6,endeavor
6,enforcement
6,entirely
6,europe
6,everything
6,exercises
6,exile
6,exiles
6,expenses
6,eyes
6,falls
6,father
6,figure
6,film
6,follows
6,forwarded
6,french
6,gandy
6,giving
6,government.
6,greenwald
6,happened
6,hate
6,health
6,hersh
6,identities
6,important
6,include
6,included
6,infonnation
6,inn
6,issuance
6,key
6,knowing
6,labor
6,lansdale
6,leads
6,learned
6,letterhead
6,letters
6,license
6,loaned
6,logical
6,mailing
6,main
6,message
6,mrs
6,myself
6,near
6,none
6,nsc
6,occupation
6,offer
6,once
6,operating
6,owner
6,pagetwo
6,parking
6,passed
6,payment
6,pennsylvania
6,permission
6,play
6,power
6,prio
6,protect
6,questioned
6,race
6,raised
6,rating
6,regard
6,relationship
6,replied
6,reports
6,representatives
6,requesting
6,resided
6,residing
6,restaurant
6,rhode
6,richard
6,role
6,rosselliat
6,salem
6,sanitized
6,schweitzer
6,seeret
6,send
6,serial
6,served
6,seven
6,shooting
6,shore
6,short
6,showing
6,shown
6,sign
6,simply
6,situation
6,son
6,spoke
6,statement:
6,stating
6,stop
6,subpoena
6,suggest
6,sullivan
6,support
6,surrounding
6,talked
6,tbat
6,teletype
6,testimony
6,threats
6,tne
6,tor
6,tourist
6,tra
6,transport
6,traveling
6,truemagazine
6,try
6,unless
6,urgent
6,utilized
6,venture
6,war
6,wedding
6,willingness
6,wolland
6,woman
5,1967
5,7th
5,actions
5,aircraft
5,allen
5,almost
5,americans.
5,anddangerous.
5,anyone
5,appearance
5,appreciate
5,archersaid
5,arrangements
5,asking
5,assigned
5,attend
5,baker
5,bank
5,become
5,below
5,big
5,boulevard,
5,break
5,brennan
5,building
5,california.
5,camelo
5,capability
5,carrying
5,cerning
5,certainly
5,character
5,characterized
5,chr
5,citizenship
5,clandestine
5,colony
5,commented
5,communication
5,comparison
5,connections
5,consider
5,continue
5,continuing
5,cooperate
5,correct
5,covering
5,covert
5,crew
5,dark
5,deals
5,decided
5,decision
5,deported
5,detroit
5,developed
5,dickson
5,directed
5,disc
5,disclosed
5,discussed.
5,disposal
5,divorced
5,docld:32556705
5,dominican
5,drawn
5,driving
5,due
5,edgar
5,effect
5,entire
5,entry
5,evergreen
5,exact
5,experience
5,extremely
5,facts
5,female
5,final
5,financial
5,firearms
5,formation
5,fort
5,gale
5,gambler
5,government,
5,granted
5,gregory
5,half
5,handwriting
5,headquarters,
5,headquarters.
5,herman
5,holding
5,hundred
5,husband
5,immediate
5,indicating
5,ingram
5,instructed
5,insure
5,jenis
5,jerry
5,johnson
5,jose
5,judge
5,keith
5,lead
5,leaving
5,lenna
5,leopoldville.
5,lhm
5,lies
5,lieutenant
5,line
5,lisbon
5,machine
5,magazine
5,maintained
5,management
5,marina
5,memoranda
5,merely
5,messages
5,monmouth
5,month
5,moscow
5,move
5,movements
5,mro
5,naturalized
5,negative
5,negotiating
5,northwest
5,notify
5,objective
5,obtaining
5,occasion
5,operate
5,opportunity
5,outstanding
5,overall
5,page8
5,page9
5,paul
5,penciled
5,physical
5,pictures
5,pilot
5,plaza
5,pls
5,pontiac
5,post
5,praising
5,pressure
5,price
5,principal
5,problems
5,racket
5,ranking
5,rather
5,real
5,rebels
5,red
5,refers
5,reliable
5,remain
5,removal
5,rented
5,reporter
5,reporting
5,require
5,requirements
5,responsible
5,revolution
5,road
5,rocca
5,run
5,russian
5,secure
5,seem
5,senior
5,side
5,signed
5,smuggling
5,social
5,sometime
5,soviets
5,spaces
5,statements
5,stay
5,study
5,subscriber
5,sunday
5,supposedly
5,suspect
5,telegraph
5,terms
5,thank
5,toward
5,trafficante
5,transcript
5,trial
5,typed
5,unlawful
5,vice
5,visits
5,walter
5,weeks
5,wish
