count,word
104,the
82,page
47,and
37,nsa
36,for
35,nw173
35,see
34,jul
33,top
28,secret
24,jun
23,document
23,dominican
20,this
18,his
17,john
17,under
17,you
16,/dominican
16,assassination
16,fbi
16,kennedy
16,visa
16,visas
15,1992
15,act
15,redact
14,collection
14,records
14,that
14,will
14,with
13,recordnumber:
13,recordseries:
12,authorized
12,authorized.
12,title
11,documentinformation
11,not
10,from
10,have
10,restrictions
10,textual
9,agencyinformation
9,are
9,classification
9,currentstatus:
9,documenttype:
9,foreign
9,originator:
9,page2
9,your
8,2025
8,agencyfilenumber:
8,approval
8,city
8,cuban
8,docld:2392
8,haitian
8,has
8,mexican
8,otto
8,release
8,who
7,assassinationsystem
7,dinar
7,domingo
7,jfk
7,know
7,lastreview:
7,openingcriteria:
7,president
7,subject
7,travel
7,wife
6,974
6,agency
6,dateof
6,dec
6,excellency
6,gonzalez
6,government
6,haiti
6,her
6,identificationform
6,indexed
6,please
6,was
5,aug
5,daughter
5,director
5,identification
5,jan
5,kimbo
5,masferrer
5,memo
5,mexico
5,msg
5,national
5,page1
5,rolando
5,security
5,there
5,val
4,12025release
4,action
4,aguirre9
4,any
4,date
4,dateoflastreview:
4,documentype:
4,domingo/mexico
4,form
4,give
4,information
4,janeiro
4,jose
4,june
4,luis
4,mail
4,man
4,oct
4,possibly
4,puerto
4,received
4,santo
4,states
4,system
4,their
4,tourist
4,umbra
4,valentine;
3,1964
3,about
3,against
3,aguirre
3,also
3,ambassador
3,aut
3,authorized,
3,believe
3,buenos
3,but
3,children
3,classification:
3,contains
3,coromarrodan
3,dear
3,del
3,deliver
3,diaz
3,domingo/san
3,don
3,flight
3,hcf
3,increase
3,informed
3,jfkassassination
3,jfkassa~inationsystem
3,juan
3,leave
3,letter
3,maria
3,mexico/dominican
3,minister
3,name
3,office
3,only
3,opinion
3,originator
3,paper,textual
3,passport
3,republic
3,requested
3,rico/dominican
3,santana
3,secretumbra
3,source
3,temporary
3,timmons
3,transit
3,treto
3,united
3,valid
3,visit
3,washington:
3,what
3,which
3,yugoslav
2,(incomplete
2,1612
2,300
2,3161
2,69p
2,accompanied
2,agencyinfonnation
2,alejandro
2,all
2,amount
2,approvalof
2,april
2,argentina;
2,attend
2,bases
2,batista
2,bengochea
2,brother
2,business
2,castellanos
2,cent
2,code
2,coming
2,conduct
2,contact
2,coro
2,cultural
2,day
2,doc
2,docld:2394
2,docld:2398
2,documentcontains
2,dody
2,duvalier
2,ferrer
2,find
2,fonn
2,garcia
2,get
2,gr60
2,hernandez,jorge
2,him
2,hotel
2,husband
2,impression
2,indefinite
2,indefinite,
2,interested
2,invest
2,irving
2,irvingdavidson
2,ishtar
2,issued
2,jacques
2,juanp
2,july
2,latin
2,lcmbra
2,least
2,left
2,listen
2,loan
2,luz
2,mcdonnel
2,memory
2,message
